solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat
1636042515805110273,Gaia EDR3 2974906868489280768,2974906868489280768,1308765042,2016.0,76.6496195413261,0.009730104,-20.245613095254143,0.010173937,6.6028586079112195,0.015041716,438.96976,15.934322,15.435349387243585,0.010944147,-3.9563373306798844,0.012387272,-0.022480588,0.07480901,0.16871694,-0.23629756,-0.03776927,-0.21419135,-0.1383232,0.10546826,0.058985822,-0.06490295,509,509,496,13,2.7767963,1514.6213,0.11615933,26.332592,31,true,1.4861034,,,,,,,,59,26,0.017537376,62,22,0,0.009366519,70.08497,0,0,1.0892086,,,,,,,,,false,506,419592.2178547077,386.1773,1086.5273,11.630299,52,195769.61686075298,621.38135,315.0555,12.109179,51,321597.05766051746,731.72125,439.5076,10.979615,0,1,0,0,0,1.2330226,1.1295633,0.47887993,0.6506834,23.684292,1.1010553,15,4750.0,4.0,0.0,220.98050183857197,-31.77456913689767,72.80089800945977,-42.89105391243776
1636042515805110273,Gaia EDR3 4683737294569921664,4683737294569921664,1745970157,2016.0,60.199828379637815,0.012191929,-54.59291922089641,0.012899657,3.9726682775812527,0.013422424,295.9725,15.5845375,11.0360137746261,0.01716887,-11.003826399296965,0.018061094,-0.06698058,0.098899595,-0.04709455,-0.010320332,-0.052782197,-0.012536541,-0.058870994,0.19021648,-0.078604996,-0.087346435,353,353,349,4,0.28348875,1116.678,0.13100255,26.273556,31,true,1.559496,,,,,,,,40,26,0.025606144,46,16,0,0.023134874,4.392709,0,0,1.009855,,,,,,,,,false,364,703865.7004068214,156.09322,4509.265,11.068643,39,381162.108056263,225.40938,1690.9772,11.385768,36,461807.6477628602,152.69646,3024.3508,10.586742,0,0,0,0,0,1.1976287,0.79902554,0.31712532,0.48190022,64.72486,0.66811776,7,5500.0,3.5,0.0,264.9836773119159,-46.14320129763501,25.456063993220447,-71.40362221867784
1636042515805110273,Gaia EDR3 114340658009875072,114340658009875072,606771789,2016.0,42.55821165766747,0.02189667,25.333530591766092,0.01953792,11.4089978615118,0.025877804,440.87967,64.6266,61.44754023629052,0.02708904,-20.01993903317844,0.023709292,0.11613306,0.22636686,-0.10856605,0.09727167,-0.23676568,-0.004498453,0.0023809704,0.09533659,0.31878185,0.15457034,210,210,209,1,0.7927563,604.507,0.15510233,15.802304,31,true,1.6316142,,,,,,,,24,15,0.038816206,26,11,2,0.035958398,97.42059,0,0,1.0378481,,,,,,,,,false,225,2.021204698061521E7,6297.701,3209.4326,7.4233413,24,1.2381659614449903E7,11499.956,1076.6702,7.606595,24,1.154120943702282E7,6551.5337,1761.6042,7.092267,0,0,0,0,0,1.1835946,0.514328,0.18325377,0.33107424,25.038603,0.93857664,11,6750.0,4.0,0.0,154.1520427834282,-30.240220010729836,47.67673611270897,8.593236677209555
1636042515805110273,Gaia EDR3 600698184764497664,600698184764497664,1558507429,2016.0,126.61582118661032,0.01752852,10.08037088200523,0.0118717,9.436021143454356,0.020809373,453.45053,48.002,-48.00195708069586,0.02029017,0.06248682239045799,0.014986963,-0.19705153,-0.16170138,-0.16783871,0.15577163,-0.063647926,0.09543586,0.035931967,0.20254669,-0.26423395,-0.26489773,240,240,236,4,-0.3610401,510.61768,0.09382438,8.421728,31,true,1.5978862,,,,,,,,27,16,0.029679088,29,7,2,0.03299197,174.4532,0,0,0.98181546,,,,,,,,,false,246,5591519.2478272775,1347.7218,4148.8677,8.8185425,29,3243491.423620105,1925.0742,1684.8656,9.06101,25,3419178.1998497443,1101.9752,3102.7722,8.413091,0,0,0,0,0,1.191567,0.64791965,0.24246788,0.40545177,50.423515,0.37385553,5,6250.0,4.5,0.0,214.52628803229572,25.64576431754906,126.463249218671,-8.844989897155228
1636042515805110273,Gaia EDR3 2635476908753563008,2635476908753563008,1624241420,2016.0,346.62652162764437,0.06155795,-5.043528319429532,0.053622354,80.21231612635748,0.07160574,1120.194,1046.825,930.7875225817781,0.08676905,-479.0375409528857,0.07048742,0.05141225,0.15025367,-0.03808498,-0.09992238,-0.36168772,-0.12260963,0.012756776,0.12934479,-0.121564835,0.17128886,221,0,220,1,1.0721098,848.24475,0.47338536,23.966103,31,false,1.1423253,,,,,,,,25,15,0.123210795,25,8,0,0.0017203084,109.29907,0,0,1.0505682,0.23487954,0.2198109,0.44198292,0.8498633,-104.970894,-14.762349,-50.893906,23.17273,false,210,10615.129927493796,13.72943,773.1661,15.622554,20,341.26860635961816,11.93131,28.602777,19.005802,21,18095.789763251996,32.619003,554.7622,14.103951,0,1,0,1,0,1.736866,4.9018507,3.3832483,1.5186024,,,0,,,,69.71525488807798,-56.64905275975985,345.73695303580985,0.6297132100276951
1636042515805110273,Gaia EDR3 2868528637464028160,2868528637464028160,159251951,2016.0,356.66671846833805,0.012350815,31.155910632556136,0.010530624,2.3242724144737315,0.019385027,119.900406,30.83705,30.246657940626005,0.021764869,-6.005269841756732,0.013905746,0.30962667,0.07852317,-0.16523676,0.046279326,0.12016479,-0.1274144,0.14006636,-0.21403226,-0.13947551,-0.2111656,359,359,347,12,1.9950011,777.4165,0.10226438,16.107227,31,true,1.5456936,,,,,,,,41,18,0.030780666,51,9,0,0.009123629,33.808975,0,0,1.0762435,,,,,,,,,false,397,295692.5759051661,46.449707,6365.865,12.010265,50,155743.90626503588,83.29577,1869.7698,12.357514,49,199548.7931868911,71.49527,2791.077,11.497773,0,0,0,0,0,1.2015611,0.8597412,0.34724903,0.5124922,-26.34424,0.54134977,18,6000.0,3.5,0.0,106.98513624968359,-29.702238842721236,10.617192734256145,29.63472517561873
1636042515805110273,Gaia EDR3 2259354802894412928,2259354802894412928,747218667,2016.0,279.83176939898306,0.012101331,69.5228708527152,0.012432307,4.474496162792973,0.012337449,362.67596,17.324148,12.219407211247823,0.016250744,-12.28056221170357,0.016133014,-0.076933555,0.05356752,-0.022934172,-0.001778872,0.20311205,-0.012810556,-0.21744749,-0.13166311,-0.101553224,-0.13180666,333,333,331,2,2.8906133,1083.2527,0.11002194,17.2296,31,true,1.5958976,,,,,,,,38,25,0.023887517,46,17,0,0.015301411,167.91037,0,0,1.1142547,,,,,,,,,false,335,1444193.2121093315,315.66074,4575.1436,10.288303,41,832219.8640841836,313.597,2653.7878,10.537947,38,879989.5693979987,160.21536,5492.542,9.886702,0,0,0,0,0,1.1855819,0.6512451,0.24964333,0.4016018,-19.818705,0.884889,6,6500.0,4.5,0.0,99.98988036868262,26.334829810089047,43.349563135811785,85.28796528993998
1636042515805110273,Gaia EDR3 6805149288493408640,6805149288493408640,332846850,2016.0,313.21547559084263,0.018695446,-25.687376956010496,0.008677948,1.9394119131117509,0.020530691,94.464035,9.941945,1.068846829650569,0.02048609,-9.884323236927418,0.014662152,0.122584894,0.32094392,0.059269767,-0.3364868,0.001759755,-0.16795366,-0.003665098,-0.29806772,-0.31408376,0.18800494,364,0,361,3,-0.4753717,344.96585,0.0,2.1302972E-15,31,true,1.5096,,,,,,,,42,17,0.029388547,49,9,0,0.025932435,1.0417203,0,0,0.9813071,0.50295085,0.57102215,0.2894428,0.17425601,-26.342922,-7.475925,-24.404806,20.531618,false,374,58972.70299696574,17.441751,3381.1228,13.760739,43,28866.684384182157,35.319935,817.29156,14.18755,42,42585.38953966367,36.66873,1161.3542,13.174744,0,0,0,0,0,1.2116127,1.0128059,0.42681026,0.5859957,,,0,,,,20.031361063630655,-37.08328349410885,308.5281089107291,-7.8423832280481
1636042515805110273,Gaia EDR3 2099925719951103872,2099925719951103872,240273279,2016.0,285.5739908219893,0.009867343,38.400817165116756,0.0110667655,1.5823056863249398,0.012005667,131.79657,14.89761,2.4719524423574,0.0131173,-14.691092961277567,0.01452849,-0.17027123,-0.10577538,0.0024261044,0.041315872,0.12161261,0.02918933,-0.27651736,-0.033418953,-0.11308193,-0.16921818,385,9,383,2,0.32223314,389.01248,0.0,0.0,31,false,1.5468683,,,,,,,,44,27,0.021183848,47,17,0,0.0064218636,113.323784,0,0,1.0108572,,,,,,,,,false,381,58508.4165835195,12.503481,4679.37,13.769321,39,30890.47777053518,26.106903,1183.2302,14.11398,41,39327.86477342211,23.09593,1702.8049,13.261145,0,0,0,1,0,1.2001408,0.85283566,0.34465885,0.5081768,,,0,,,,68.98010965661915,14.48973967812941,295.2792389216253,60.48055792524234
1636042515805110273,Gaia EDR3 2095108312831835648,2095108312831835648,1116087973,2016.0,278.63174017602927,0.009296005,35.66142806337163,0.011369334,4.3338450846582015,0.011981826,361.70157,22.681086,-5.790525244868253,0.012401425,-21.92946596458527,0.014579406,-0.1102178,-0.09465799,-0.18396762,0.083046526,0.2169943,0.07329485,-0.2867795,0.07577797,-0.17077214,0.030943764,415,415,406,9,-2.7188118,831.72424,0.094726525,12.297799,31,false,1.5958656,,,,,,,,47,28,0.020615362,51,20,0,0.00993567,19.239288,0,0,0.90474427,,,,,,,,,false,394,1239706.9025439087,219.52571,5647.206,10.454069,46,715804.3987615296,294.81476,2427.9802,10.701556,44,757636.0017398925,179.15869,4228.8545,10.049244,0,0,0,0,0,1.1885393,0.6523123,0.24748707,0.4048252,-4.399997,0.35699114,6,6250.0,4.5,0.0,64.17494703016997,18.611118930414545,283.572737445569,58.69468833821324
